n1_total,y_CO_1,y_H2O_1,n2_total,T1,T_reactor_in,P_R,T_flash,T4,Q1_MW,Q2_MW,T_reactor_out,X_CO,T3,P3,n3_total,y_CO_3,y_H2_3,y_MeOH_3,y_H2O_3,P4,n4_total,x_CO_4,x_H2_4,x_MeOH_4,x_H2O_4,MeOH_recovery,MeOH_purity_stream4
1216.9873,0.437504182,0.00877508952,256.915865,316.615124,533.113021,68.7267247,310.620758,291.205463,2.64726661,-0.0112717547,628.461181,0.0791491478,310.620758,68.7267247,1341.76438,0.365348125,0.630875361,0.00357260171,0.00020391249,68.7267247,47.8549138,0.00175523844,0.000355222967,0.780449589,0.217439949,0.886251321,0.780449589
926.528212,0.336743112,0.00714164912,246.811173,295.680478,506.376648,61.2339999,353.126326,302.891372,2.01191911,-0.0118513268,615.196617,0.12270653,353.126326,61.2339999,1077.93456,0.253912526,0.721885423,0.0223012203,0.00190083077,61.2339999,18.835461,0.000861397743,0.000310152282,0.756308864,0.242519586,0.372092056,0.756308864
1564.4912,0.391089175,0.00283133903,331.392476,305.416126,521.368763,62.7682212,349.329708,299.088561,3.36075233,-0.0140079083,621.499047,0.0929539543,349.329708,62.7682212,1760.52998,0.315221587,0.662211575,0.0216928019,0.000874036484,62.7682212,21.6049078,0.00111661282,0.000295254987,0.864783462,0.13380467,0.328505771,0.864783462
1026.57449,0.421181187,0.0302372088,295.937519,294.575052,525.06377,70.1746199,296.12985,294.12985,2.48736213,-0.00156722317,625.98089,0.0928941995,296.12985,70.1746199,1172.44385,0.334415241,0.664201521,0.00120653134,0.000176707111,70.1746199,69.7381092,0.00180310172,0.000406704298,0.555656498,0.442133696,0.964780545,0.555656498
1424.29838,0.33430118,0.00633201843,322.221158,293.041705,479.652489,72.1426418,358.768946,298.045174,2.64098321,-0.0304991221,616.955176,0.150666415,358.768946,72.1426418,1563.87783,0.258566373,0.714802829,0.0251887105,0.00144208719,72.1426418,39.1637004,0.00100620243,0.000355430956,0.82594183,0.172696536,0.450897509,0.82594183
1592.29866,0.432181065,0.00985017702,381.874204,296.372761,470.535156,70.6166413,345.713402,285.192124,2.79343657,-0.0543670106,614.429312,0.123461309,345.713402,70.6166413,1732.31731,0.348145467,0.635207711,0.0156772914,0.000969531076,70.6166413,71.9329512,0.00141259418,0.000322467034,0.803571298,0.194693641,0.680348066,0.803571298
1224.87883,0.341788541,0.0132583841,361.411788,309.942857,536.745222,76.4504567,298.806311,296.806311,2.97926791,-0.00142401619,633.501965,0.11005035,298.806311,76.4504567,1434.27869,0.259703597,0.738508467,0.00167228936,0.000115646506,76.4504567,59.8668681,0.00149806398,0.000486720758,0.729518712,0.268496503,0.947940149,0.729518712
1399.79041,0.273820114,0.0335858572,330.565952,293.715653,503.190936,74.2958191,357.184859,329.307844,2.95610857,-0.0261931735,619.985563,0.158762679,357.184859,74.2958191,1527.62876,0.211026053,0.771336441,0.0137744744,0.0038630311,74.2958191,81.0230636,0.000852006375,0.000396947054,0.491341409,0.507409637,0.654207092,0.491341409
1574.62251,0.250542365,0.0099101061,156.641049,302.4307,517.399393,74.7215809,350.995091,292.41169,3.0471312,-0.0316771386,625.674785,0.142546041,350.995091,74.7215809,1574.51992,0.214817275,0.767636979,0.0158310877,0.00171465769,74.7215809,44.272058,0.000898509814,0.000405231393,0.707205101,0.291491158,0.556752669,0.707205101
1567.90136,0.396101374,0.0222672945,243.411116,310.198416,538.383238,75.0181413,332.683443,296.920738,3.4105317,-0.0307686455,633.202013,0.0831555124,332.683443,75.0181413,1633.24914,0.348559241,0.644137724,0.0061482388,0.00115479638,75.0181413,74.7762282,0.00160810173,0.000363486436,0.556352602,0.44167581,0.805559363,0.556352602
